GEOID,1984,GEOID,1985,GEOID,1986,GEOID,1987,GEOID,1988,GEOID,1989,GEOID,1990,GEOID,1991,GEOID,1992,GEOID,1993,GEOID,1994,GEOID,1995,GEOID,1996,GEOID,1997,GEOID,1998,GEOID,1999,GEOID,2000,GEOID,2001,GEOID,2002,GEOID,2003,GEOID,2004,GEOID,2005,GEOID,2006,GEOID,2007,GEOID,2008,GEOID,2009,GEOID,2010,GEOID,2011,GEOID,2012,GEOID,2013
04000US01,17310,04000US01,18333,04000US01,19132,04000US01,19734,04000US01,19948,04000US01,21284,04000US01,23357,04000US01,24346,04000US01,25808,04000US01,25082,04000US01,27196,04000US01,25991,04000US01,30302,04000US01,31939,04000US01,36266,04000US01,36251,04000US01,35424,04000US01,35160,04000US01,37603,04000US01,37255,04000US01,36629,04000US01,37150,04000US01,37952,04000US01,42212,04000US01,44476,04000US01,39980,04000US01,40933,04000US01,42590,04000US01,43464,04000US01,41381
04000US02,32356,04000US02,34782,04000US02,31356,04000US02,33233,04000US02,33103,04000US02,36006,04000US02,39298,04000US02,40612,04000US02,41802,04000US02,42931,04000US02,45367,04000US02,47954,04000US02,52779,04000US02,47994,04000US02,50692,04000US02,51396,04000US02,52847,04000US02,57363,04000US02,52774,04000US02,51837,04000US02,55063,04000US02,55891,04000US02,56418,04000US02,62993,04000US02,63989,04000US02,61604,04000US02,57848,04000US02,57431,04000US02,63648,04000US02,61137
04000US04,21425,04000US04,23877,04000US04,25500,04000US04,26749,04000US04,26435,04000US04,28552,04000US04,29224,04000US04,30737,04000US04,29358,04000US04,30510,04000US04,31293,04000US04,30863,04000US04,31637,04000US04,32740,04000US04,37090,04000US04,36995,04000US04,39783,04000US04,42704,04000US04,39734,04000US04,41166,04000US04,43846,04000US04,45245,04000US04,46657,04000US04,47215,04000US04,46914,04000US04,45739,04000US04,46896,04000US04,48621,04000US04,47044,04000US04,50602
04000US05,15674,04000US05,17451,04000US05,18730,04000US05,18827,04000US05,20172,04000US05,21433,04000US05,22786,04000US05,23435,04000US05,23882,04000US05,23039,04000US05,25565,04000US05,25814,04000US05,27123,04000US05,26162,04000US05,27665,04000US05,29682,04000US05,29697,04000US05,33339,04000US05,32387,04000US05,32002,04000US05,34984,04000US05,36658,04000US05,37057,04000US05,40795,04000US05,39586,04000US05,36538,04000US05,38587,04000US05,41302,04000US05,39018,04000US05,39919
04000US06,25287,04000US06,26981,04000US06,29010,04000US06,30146,04000US06,30287,04000US06,33009,04000US06,33290,04000US06,33664,04000US06,34903,04000US06,34073,04000US06,35331,04000US06,37009,04000US06,38812,04000US06,39694,04000US06,40934,04000US06,43629,04000US06,46816,04000US06,47262,04000US06,47437,04000US06,49300,04000US06,49222,04000US06,51755,04000US06,55319,04000US06,55734,04000US06,57014,04000US06,56134,04000US06,54283,04000US06,53367,04000US06,57020,04000US06,57528
04000US08,25801,04000US08,28182,04000US08,27192,04000US08,26476,04000US08,26214,04000US08,26806,04000US08,30733,04000US08,31499,04000US08,32484,04000US08,34488,04000US08,37833,04000US08,40706,04000US08,40950,04000US08,43233,04000US08,46599,04000US08,48177,04000US08,48240,04000US08,49397,04000US08,48294,04000US08,49940,04000US08,50886,04000US08,50449,04000US08,55697,04000US08,61141,04000US08,60943,04000US08,55930,04000US08,60233,04000US08,58629,04000US08,57255,04000US08,63371
04000US09,29951,04000US09,31090,04000US09,32721,04000US09,32862,04000US09,36213,04000US09,42321,04000US09,38870,04000US09,42154,04000US09,40841,04000US09,39516,04000US09,41097,04000US09,40243,04000US09,42119,04000US09,43985,04000US09,46508,04000US09,50593,04000US09,50172,04000US09,53347,04000US09,53387,04000US09,54965,04000US09,55100,04000US09,56835,04000US09,62404,04000US09,64141,04000US09,64682,04000US09,64851,04000US09,65998,04000US09,65415,04000US09,64247,04000US09,67781
04000US10,25819,04000US10,22980,04000US10,25626,04000US10,29244,04000US10,30505,04000US10,32068,04000US10,30804,04000US10,32585,04000US10,35678,04000US10,36064,04000US10,35873,04000US10,34928,04000US10,39309,04000US10,43033,04000US10,41458,04000US10,46628,04000US10,50365,04000US10,49602,04000US10,49650,04000US10,49019,04000US10,48049,04000US10,51235,04000US10,52438,04000US10,54589,04000US10,50702,04000US10,52114,04000US10,55214,04000US10,54660,04000US10,48972,04000US10,52219
04000US12,19785,04000US12,21343,04000US12,22849,04000US12,24489,04000US12,25406,04000US12,26085,04000US12,26685,04000US12,27252,04000US12,27349,04000US12,28550,04000US12,29294,04000US12,29745,04000US12,30641,04000US12,32455,04000US12,34909,04000US12,35831,04000US12,38856,04000US12,36421,04000US12,38024,04000US12,38972,04000US12,40535,04000US12,42990,04000US12,45676,04000US12,45794,04000US12,44857,04000US12,45631,04000US12,44066,04000US12,45105,04000US12,46071,04000US12,47886
04000US13,19984,04000US13,21049,04000US13,24370,04000US13,26714,04000US13,26566,04000US13,27542,04000US13,27561,04000US13,27212,04000US13,28797,04000US13,31663,04000US13,31467,04000US13,34099,04000US13,32496,04000US13,36663,04000US13,38665,04000US13,39425,04000US13,41901,04000US13,42576,04000US13,42939,04000US13,42438,04000US13,40984,04000US13,45926,04000US13,49344,04000US13,48641,04000US13,46227,04000US13,43340,04000US13,44117,04000US13,45973,04000US13,48121,04000US13,47439
04000US15,28877,04000US15,28961,04000US15,29003,04000US15,35022,04000US15,33024,04000US15,35035,04000US15,38921,04000US15,37246,04000US15,42113,04000US15,42662,04000US15,42255,04000US15,42851,04000US15,41772,04000US15,40934,04000US15,40827,04000US15,44504,04000US15,51546,04000US15,47439,04000US15,47303,04000US15,51834,04000US15,56242,04000US15,59586,04000US15,60470,04000US15,64022,04000US15,61521,04000US15,55649,04000US15,59539,04000US15,59047,04000US15,56263,04000US15,61408
04000US16,21092,04000US16,20761,04000US16,20749,04000US16,20755,04000US16,23450,04000US16,24654,04000US16,25305,04000US16,26116,04000US16,27704,04000US16,31010,04000US16,31536,04000US16,32676,04000US16,34709,04000US16,33404,04000US16,36680,04000US16,35800,04000US16,37611,04000US16,38241,04000US16,37715,04000US16,42372,04000US16,44358,04000US16,44176,04000US16,46213,04000US16,49184,04000US16,47420,04000US16,46778,04000US16,47050,04000US16,47459,04000US16,47922,04000US16,51767
04000US17,23752,04000US17,24870,04000US17,26511,04000US17,27084,04000US17,29524,04000US17,31300,04000US17,32542,04000US17,31884,04000US17,31551,04000US17,32857,04000US17,35081,04000US17,38071,04000US17,39554,04000US17,41283,04000US17,43178,04000US17,46330,04000US17,46064,04000US17,46171,04000US17,42710,04000US17,45153,04000US17,46077,04000US17,48398,04000US17,48671,04000US17,52506,04000US17,53254,04000US17,52870,04000US17,50728,04000US17,50637,04000US17,51738,04000US17,57196
04000US18,22770,04000US18,22675,04000US18,22728,04000US18,22519,04000US18,26293,04000US18,25898,04000US18,26928,04000US18,27089,04000US18,28530,04000US18,29475,04000US18,27858,04000US18,33385,04000US18,35147,04000US18,38889,04000US18,39731,04000US18,40838,04000US18,40865,04000US18,40379,04000US18,41047,04000US18,42425,04000US18,42329,04000US18,42437,04000US18,45407,04000US18,47453,04000US18,46520,04000US18,44305,04000US18,46139,04000US18,44445,04000US18,46158,04000US18,50553
04000US19,19863,04000US19,20927,04000US19,22459,04000US19,22190,04000US19,24305,04000US19,26265,04000US19,27288,04000US19,28553,04000US19,28743,04000US19,28663,04000US19,33079,04000US19,35519,04000US19,33209,04000US19,33783,04000US19,37019,04000US19,41098,04000US19,40991,04000US19,40976,04000US19,41049,04000US19,41384,04000US19,43391,04000US19,46500,04000US19,48126,04000US19,48908,04000US19,50142,04000US19,50721,04000US19,49016,04000US19,50219,04000US19,53442,04000US19,54855
04000US20,24629,04000US20,22788,04000US20,23926,04000US20,25583,04000US20,25566,04000US20,26862,04000US20,29917,04000US20,29295,04000US20,30346,04000US20,29770,04000US20,28322,04000US20,30341,04000US20,32585,04000US20,36471,04000US20,36711,04000US20,37348,04000US20,41059,04000US20,41415,04000US20,42619,04000US20,44232,04000US20,41066,04000US20,42027,04000US20,45552,04000US20,48497,04000US20,47877,04000US20,44717,04000US20,46054,04000US20,46147,04000US20,50003,04000US20,51485
04000US21,17680,04000US21,17361,04000US21,19874,04000US21,20673,04000US21,19907,04000US21,23283,04000US21,24780,04000US21,23764,04000US21,23485,04000US21,24376,04000US21,26595,04000US21,29810,04000US21,32413,04000US21,33452,04000US21,36252,04000US21,33738,04000US21,36265,04000US21,38437,04000US21,36762,04000US21,36936,04000US21,35610,04000US21,36699,04000US21,39485,04000US21,39452,04000US21,41148,04000US21,42664,04000US21,41104,04000US21,39856,04000US21,41086,04000US21,42158
04000US22,18949,04000US22,21179,04000US22,20890,04000US22,21349,04000US22,20497,04000US22,22861,04000US22,22405,04000US22,25299,04000US22,25439,04000US22,26312,04000US22,25676,04000US22,27949,04000US22,30262,04000US22,33260,04000US22,31735,04000US22,32654,04000US22,30718,04000US22,33322,04000US22,34008,04000US22,33507,04000US22,36429,04000US22,37236,04000US22,36488,04000US22,41313,04000US22,39563,04000US22,45433,04000US22,39300,04000US22,40658,04000US22,39085,04000US22,39622
04000US23,20648,04000US23,20519,04000US23,23424,04000US23,23600,04000US23,26402,04000US23,28221,04000US23,27464,04000US23,27868,04000US23,29617,04000US23,27438,04000US23,30316,04000US23,33858,04000US23,34696,04000US23,32772,04000US23,35640,04000US23,38862,04000US23,37266,04000US23,36612,04000US23,36853,04000US23,37113,04000US23,41329,04000US23,43923,04000US23,45642,04000US23,47894,04000US23,47228,04000US23,47502,04000US23,47931,04000US23,49693,04000US23,49158,04000US23,50121
04000US24,29708,04000US24,30136,04000US24,30604,04000US24,34970,04000US24,36552,04000US24,36016,04000US24,38857,04000US24,36952,04000US24,37203,04000US24,39939,04000US24,39198,04000US24,41041,04000US24,43993,04000US24,46685,04000US24,50016,04000US24,52205,04000US24,54535,04000US24,53530,04000US24,56407,04000US24,52314,04000US24,57103,04000US24,60512,04000US24,63668,04000US24,65630,04000US24,63711,04000US24,64186,04000US24,64201,04000US24,68876,04000US24,71836,04000US24,65262
04000US25,26959,04000US25,28207,04000US25,30339,04000US25,32241,04000US25,33213,04000US25,36086,04000US25,36247,04000US25,35714,04000US25,36359,04000US25,37064,04000US25,40500,04000US25,38574,04000US25,39494,04000US25,42023,04000US25,42345,04000US25,44005,04000US25,46753,04000US25,52253,04000US25,49855,04000US25,50955,04000US25,52019,04000US25,56017,04000US25,55330,04000US25,58463,04000US25,60320,04000US25,59373,04000US25,60934,04000US25,63313,04000US25,63656,04000US25,62963
04000US26,22965,04000US26,24242,04000US26,26605,04000US26,27702,04000US26,29472,04000US26,30775,04000US26,29937,04000US26,32117,04000US26,32267,04000US26,32662,04000US26,35284,04000US26,36426,04000US26,39225,04000US26,38742,04000US26,41821,04000US26,46089,04000US26,45512,04000US26,45047,04000US26,42715,04000US26,45022,04000US26,42256,04000US26,45933,04000US26,48647,04000US26,49370,04000US26,49788,04000US26,45994,04000US26,46276,04000US26,48879,04000US26,50015,04000US26,48801
04000US27,24436,04000US27,23856,04000US27,26443,04000US27,28082,04000US27,29087,04000US27,30185,04000US27,31465,04000US27,29479,04000US27,30981,04000US27,33682,04000US27,33644,04000US27,37933,04000US27,40991,04000US27,42564,04000US27,47926,04000US27,47038,04000US27,54251,04000US27,52681,04000US27,54622,04000US27,52823,04000US27,56104,04000US27,54215,04000US27,56211,04000US27,58058,04000US27,54925,04000US27,56090,04000US27,52321,04000US27,57820,04000US27,61795,04000US27,60907
04000US28,15430,04000US28,16413,04000US28,16513,04000US28,18513,04000US28,18166,04000US28,19917,04000US28,20178,04000US28,19475,04000US28,20570,04000US28,22191,04000US28,25400,04000US28,26538,04000US28,26677,04000US28,28499,04000US28,29120,04000US28,32478,04000US28,34299,04000US28,30161,04000US28,30882,04000US28,32728,04000US28,34755,04000US28,32875,04000US28,34733,04000US28,37279,04000US28,36446,04000US28,35078,04000US28,38160,04000US28,41090,04000US28,36641,04000US28,40850
04000US29,20775,04000US29,21939,04000US29,21925,04000US29,23720,04000US29,23443,04000US29,26497,04000US29,27332,04000US29,27926,04000US29,27361,04000US29,28682,04000US29,30190,04000US29,34825,04000US29,34265,04000US29,36553,04000US29,40201,04000US29,41383,04000US29,45097,04000US29,41339,04000US29,42776,04000US29,43762,04000US29,42137,04000US29,42986,04000US29,44579,04000US29,46005,04000US29,46038,04000US29,48769,04000US29,45817,04000US29,45774,04000US29,49764,04000US29,50311
04000US30,19536,04000US30,20236,04000US30,20328,04000US30,20474,04000US30,22231,04000US30,23692,04000US30,23375,04000US30,24827,04000US30,26525,04000US30,26470,04000US30,27631,04000US30,27757,04000US30,28684,04000US30,29212,04000US30,31577,04000US30,31038,04000US30,32777,04000US30,32126,04000US30,34835,04000US30,34108,04000US30,33956,04000US30,37313,04000US30,41105,04000US30,43655,04000US30,42900,04000US30,40437,04000US30,41280,04000US30,40277,04000US30,45088,04000US30,44132
04000US31,21397,04000US31,21799,04000US31,21772,04000US31,23268,04000US31,25159,04000US31,26319,04000US31,27482,04000US31,29549,04000US31,30048,04000US31,31008,04000US31,31794,04000US31,32929,04000US31,34014,04000US31,34692,04000US31,36413,04000US31,38626,04000US31,41750,04000US31,43611,04000US31,42796,04000US31,43974,04000US31,43786,04000US31,47923,04000US31,48145,04000US31,49174,04000US31,50728,04000US31,49595,04000US31,52504,04000US31,55616,04000US31,52196,04000US31,53774
04000US32,25776,04000US32,23274,04000US32,26217,04000US32,26878,04000US32,27983,04000US32,29340,04000US32,32023,04000US32,32937,04000US32,31908,04000US32,35814,04000US32,35871,04000US32,36084,04000US32,38540,04000US32,38854,04000US32,39756,04000US32,41461,04000US32,45758,04000US32,45403,04000US32,44958,04000US32,45184,04000US32,47204,04000US32,48209,04000US32,52282,04000US32,54058,04000US32,54744,04000US32,51434,04000US32,51200,04000US32,47043,04000US32,47333,04000US32,45369
04000US33,25914,04000US33,26403,04000US33,30548,04000US33,32338,04000US33,34625,04000US33,37532,04000US33,40805,04000US33,36032,04000US33,39436,04000US33,37964,04000US33,35245,04000US33,39171,04000US33,39407,04000US33,40998,04000US33,44958,04000US33,46055,04000US33,50926,04000US33,51331,04000US33,55321,04000US33,55567,04000US33,56815,04000US33,56984,04000US33,61970,04000US33,67576,04000US33,66176,04000US33,64131,04000US33,66633,04000US33,65880,04000US33,67819,04000US33,71322
04000US34,27776,04000US34,30980,04000US34,31715,04000US34,34241,04000US34,36287,04000US34,39120,04000US34,38734,04000US34,40049,04000US34,39000,04000US34,40500,04000US34,42280,04000US34,43924,04000US34,47468,04000US34,48021,04000US34,49826,04000US34,49734,04000US34,50405,04000US34,51771,04000US34,54568,04000US34,56045,04000US34,55275,04000US34,63368,04000US34,68059,04000US34,60508,04000US34,65306,04000US34,64777,04000US34,62968,04000US34,62338,04000US34,66692,04000US34,61782
04000US35,20630,04000US35,20423,04000US35,19845,04000US35,20758,04000US35,19296,04000US35,22602,04000US35,25039,04000US35,26540,04000US35,25860,04000US35,26758,04000US35,26905,04000US35,25991,04000US35,25086,04000US35,30086,04000US35,31543,04000US35,32574,04000US35,35093,04000US35,33124,04000US35,35457,04000US35,35105,04000US35,39562,04000US35,38947,04000US35,40028,04000US35,44356,04000US35,42102,04000US35,43542,04000US35,45134,04000US35,41982,04000US35,43424,04000US35,42127
04000US36,22027,04000US36,23639,04000US36,25025,04000US36,26384,04000US36,28915,04000US36,31496,04000US36,31591,04000US36,31794,04000US36,31051,04000US36,31697,04000US36,31899,04000US36,33028,04000US36,35410,04000US36,35798,04000US36,37394,04000US36,39989,04000US36,40744,04000US36,42114,04000US36,41966,04000US36,42788,04000US36,44649,04000US36,47176,04000US36,48222,04000US36,48944,04000US36,50461,04000US36,50216,04000US36,49781,04000US36,50636,04000US36,47680,04000US36,53843
04000US37,20569,04000US37,21451,04000US37,21861,04000US37,22760,04000US37,24415,04000US37,26406,04000US37,26329,04000US37,26853,04000US37,27771,04000US37,28820,04000US37,30114,04000US37,31979,04000US37,35601,04000US37,35840,04000US37,35838,04000US37,37254,04000US37,38317,04000US37,38162,04000US37,36515,04000US37,37279,04000US37,40238,04000US37,42056,04000US37,39797,04000US37,43513,04000US37,42930,04000US37,41906,04000US37,43830,04000US37,45206,04000US37,41553,04000US37,41208
04000US38,20771,04000US38,21205,04000US38,21508,04000US38,22576,04000US38,24092,04000US38,25229,04000US38,25264,04000US38,25892,04000US38,26959,04000US38,28118,04000US38,28278,04000US38,29089,04000US38,31470,04000US38,31661,04000US38,30304,04000US38,32663,04000US38,35996,04000US38,35793,04000US38,36200,04000US38,40410,04000US38,39220,04000US38,42192,04000US38,41047,04000US38,47205,04000US38,49631,04000US38,50075,04000US38,51006,04000US38,56361,04000US38,55766,04000US38,52888
04000US39,23123,04000US39,25174,04000US39,25115,04000US39,25773,04000US39,27740,04000US39,29021,04000US39,30013,04000US39,29790,04000US39,31404,04000US39,31285,04000US39,31855,04000US39,34941,04000US39,34070,04000US39,36134,04000US39,38925,04000US39,39489,04000US39,42962,04000US39,41785,04000US39,42684,04000US39,43520,04000US39,43055,04000US39,44203,04000US39,45900,04000US39,49099,04000US39,46934,04000US39,45879,04000US39,45886,04000US39,44648,04000US39,44375,04000US39,46398
04000US40,21148,04000US40,21205,04000US40,20948,04000US40,21691,04000US40,23667,04000US40,23667,04000US40,24384,04000US40,25462,04000US40,25284,04000US40,26260,04000US40,26991,04000US40,26311,04000US40,27437,04000US40,31351,04000US40,33727,04000US40,32683,04000US40,32432,04000US40,35609,04000US40,36458,04000US40,35902,04000US40,39614,04000US40,37645,04000US40,38838,04000US40,43216,04000US40,46111,04000US40,45878,04000US40,43103,04000US40,48455,04000US40,48407,04000US40,43777
04000US41,21399,04000US41,21894,04000US41,24773,04000US41,25038,04000US41,27748,04000US41,28529,04000US41,29281,04000US41,30190,04000US41,31927,04000US41,33138,04000US41,31456,04000US41,36374,04000US41,35492,04000US41,37247,04000US41,39067,04000US41,40619,04000US41,42499,04000US41,41273,04000US41,41802,04000US41,41638,04000US41,40994,04000US41,44159,04000US41,47091,04000US41,50236,04000US41,51727,04000US41,49098,04000US41,50602,04000US41,51526,04000US41,51775,04000US41,56307
04000US42,20346,04000US42,22877,04000US42,23807,04000US42,25424,04000US42,26742,04000US42,28690,04000US42,29005,04000US42,30367,04000US42,29882,04000US42,30995,04000US42,32066,04000US42,34524,04000US42,34899,04000US42,37517,04000US42,39015,04000US42,37758,04000US42,42176,04000US42,43499,04000US42,42498,04000US42,42933,04000US42,44106,04000US42,46300,04000US42,48477,04000US42,48437,04000US42,51402,04000US42,48172,04000US42,48314,04000US42,49910,04000US42,51904,04000US42,53952
04000US44,21612,04000US44,24625,04000US44,26540,04000US44,28292,04000US44,29842,04000US44,30124,04000US44,31968,04000US44,30836,04000US44,30432,04000US44,33509,04000US44,31928,04000US44,35359,04000US44,36986,04000US44,34797,04000US44,40686,04000US44,42719,04000US44,42197,04000US44,45723,04000US44,42417,04000US44,44711,04000US44,47935,04000US44,49484,04000US44,53736,04000US44,54210,04000US44,53241,04000US44,51634,04000US44,51623,04000US44,49033,04000US44,56065,04000US44,57812
04000US45,20309,04000US45,20036,04000US45,21968,04000US45,25049,04000US45,25533,04000US45,23798,04000US45,28735,04000US45,27463,04000US45,27578,04000US45,26053,04000US45,29846,04000US45,29071,04000US45,34665,04000US45,34262,04000US45,33267,04000US45,36462,04000US45,37570,04000US45,37736,04000US45,37812,04000US45,38479,04000US45,38691,04000US45,40230,04000US45,39617,04000US45,44213,04000US45,42155,04000US45,41101,04000US45,41698,04000US45,40084,04000US45,44401,04000US45,43749
04000US46,19409,04000US46,18142,04000US46,19898,04000US46,21151,04000US46,22294,04000US46,24108,04000US46,24571,04000US46,24639,04000US46,26259,04000US46,27737,04000US46,29733,04000US46,29578,04000US46,29526,04000US46,29694,04000US46,32786,04000US46,35828,04000US46,36475,04000US46,39671,04000US46,37873,04000US46,39522,04000US46,41107,04000US46,43151,04000US46,45427,04000US46,46418,04000US46,51600,04000US46,45826,04000US46,45352,04000US46,47223,04000US46,49415,04000US46,54453
04000US47,16782,04000US47,17778,04000US47,18256,04000US47,21179,04000US47,20856,04000US47,22611,04000US47,22592,04000US47,24453,04000US47,24318,04000US47,25102,04000US47,28639,04000US47,29015,04000US47,30790,04000US47,30636,04000US47,34091,04000US47,36522,04000US47,34096,04000US47,35783,04000US47,37030,04000US47,37523,04000US47,38072,04000US47,39406,04000US47,40693,04000US47,41195,04000US47,39702,04000US47,40517,04000US47,38591,04000US47,42279,04000US47,42995,04000US47,42499
04000US48,23024,04000US48,23743,04000US48,24162,04000US48,24721,04000US48,24963,04000US48,25886,04000US48,28228,04000US48,27733,04000US48,27953,04000US48,28727,04000US48,30755,04000US48,32039,04000US48,33072,04000US48,35075,04000US48,35783,04000US48,38688,04000US48,38609,04000US48,40860,04000US48,40149,04000US48,39271,04000US48,41397,04000US48,41422,04000US48,43307,04000US48,46053,04000US48,46490,04000US48,47475,04000US48,47266,04000US48,49047,04000US48,51926,04000US48,53027
04000US49,23057,04000US49,25238,04000US49,26281,04000US49,26529,04000US49,26313,04000US49,30717,04000US49,30142,04000US49,28016,04000US49,34251,04000US49,35786,04000US49,35716,04000US49,36480,04000US49,37038,04000US49,42775,04000US49,44299,04000US49,46050,04000US49,47550,04000US49,47342,04000US49,47861,04000US49,49275,04000US49,50871,04000US49,54813,04000US49,54628,04000US49,53529,04000US49,62537,04000US49,58491,04000US49,56701,04000US49,55493,04000US49,58341,04000US49,62967
04000US50,22578,04000US50,26000,04000US50,24599,04000US50,25415,04000US50,28988,04000US50,31295,04000US50,31098,04000US50,29155,04000US50,32755,04000US50,31065,04000US50,35802,04000US50,33824,04000US50,32358,04000US50,35053,04000US50,39372,04000US50,41584,04000US50,39594,04000US50,40794,04000US50,42999,04000US50,43261,04000US50,47329,04000US50,50704,04000US50,51981,04000US50,47390,04000US50,50706,04000US50,52318,04000US50,55928,04000US50,51862,04000US50,55582,04000US50,54842
04000US51,26525,04000US51,28429,04000US51,29715,04000US51,29996,04000US51,32648,04000US51,34118,04000US51,35073,04000US51,36137,04000US51,38198,04000US51,36433,04000US51,37647,04000US51,36222,04000US51,39211,04000US51,42957,04000US51,43354,04000US51,45693,04000US51,47163,04000US51,50241,04000US51,49631,04000US51,54783,04000US51,51141,04000US51,51914,04000US51,57119,04000US51,59161,04000US51,61985,04000US51,60501,04000US51,60367,04000US51,62616,04000US51,64632,04000US51,67620
04000US53,25017,04000US53,24000,04000US53,26881,04000US53,27319,04000US53,32327,04000US53,31961,04000US53,32112,04000US53,33970,04000US53,33900,04000US53,35655,04000US53,33533,04000US53,35568,04000US53,36676,04000US53,44562,04000US53,47421,04000US53,45473,04000US53,42525,04000US53,42490,04000US53,45183,04000US53,47508,04000US53,49922,04000US53,50646,04000US53,54723,04000US53,58080,04000US53,56631,04000US53,60392,04000US53,56163,04000US53,56850,04000US53,62187,04000US53,60106
04000US54,16843,04000US54,15983,04000US54,16464,04000US54,17207,04000US54,19353,04000US54,21677,04000US54,22137,04000US54,23147,04000US54,20271,04000US54,22421,04000US54,23564,04000US54,24880,04000US54,25247,04000US54,27488,04000US54,26704,04000US54,29297,04000US54,29411,04000US54,29673,04000US54,29359,04000US54,32763,04000US54,33373,04000US54,36445,04000US54,38419,04000US54,42091,04000US54,37994,04000US54,40490,04000US54,42777,04000US54,41821,04000US54,43553,04000US54,40241
04000US55,20743,04000US55,23246,04000US55,26430,04000US55,26369,04000US55,29575,04000US55,29123,04000US55,30711,04000US55,31133,04000US55,33308,04000US55,31766,04000US55,35388,04000US55,40955,04000US55,40001,04000US55,39595,04000US55,41327,04000US55,45667,04000US55,45088,04000US55,45346,04000US55,45903,04000US55,46269,04000US55,45732,04000US55,44650,04000US55,51692,04000US55,51277,04000US55,51200,04000US55,51237,04000US55,50351,04000US55,52058,04000US55,53079,04000US55,55258
04000US56,23816,04000US56,22081,04000US56,23559,04000US56,27590,04000US56,26419,04000US56,29521,04000US56,29460,04000US56,29050,04000US56,30209,04000US56,29442,04000US56,33140,04000US56,31529,04000US56,30953,04000US56,33423,04000US56,35250,04000US56,37248,04000US56,39629,04000US56,39719,04000US56,39763,04000US56,42555,04000US56,45397,04000US56,44718,04000US56,47041,04000US56,48744,04000US56,53337,04000US56,52470,04000US56,52201,04000US56,54509,04000US56,57512,04000US56,55700
